Epoch,Loss,EpochTime,Hits@1,Hits@10,Hits@30,Hits@50,MRR,memory,infer_time
1,1.8820176124572754,0.1049,0.5296,0.8547,0.9212,0.9453,0.6489,1.0036,1.3516
2,0.7755289673805237,0.11,0.633,0.9106,0.9553,0.9704,0.7327,1.0121,1.4616
3,0.30980172753334045,0.1042,0.6184,0.9128,0.9587,0.9682,0.7256,1.0121,1.5658
4,0.21632401645183563,0.1031,0.6162,0.9145,0.9587,0.9676,0.7227,1.0121,1.6689
5,0.15948641300201416,0.104,0.6022,0.9123,0.9531,0.9665,0.7148,1.0121,1.7729
6,0.11639682948589325,0.1044,0.6011,0.9084,0.9531,0.9637,0.7114,1.0121,1.8773
7,0.08793596178293228,0.1041,0.5966,0.9039,0.9531,0.9637,0.7064,1.017,1.9814
8,0.06471026688814163,0.1033,0.5927,0.9006,0.952,0.9637,0.7024,1.0319,2.0847
9,0.05520287901163101,0.1046,0.5888,0.9006,0.952,0.9631,0.6991,1.0319,2.1893
10,0.046231891959905624,0.105,0.5872,0.8983,0.9508,0.9626,0.6973,1.0319,2.2944
